ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
6,"Two or More Races",0,"Not Hispanic or Latino",2015,"2015",371.53869246688157,"Ames, IA","16000US1901855","ames-ia",1684,0.02680888322852822
6,"Two or More Races",1,"Hispanic or Latino",2015,"2015",39,"Ames, IA","16000US1901855","ames-ia",46,0.000732309161824405
0,"White Alone",0,"Not Hispanic or Latino",2014,"2014",414,"Ames, IA","16000US1901855","ames-ia",50271,0.820402767804687
0,"White Alone",1,"Hispanic or Latino",2014,"2014",308,"Ames, IA","16000US1901855","ames-ia",1451,0.02367974410862328
1,"Black or African American Alone",0,"Not Hispanic or Latino",2014,"2014",202,"Ames, IA","16000US1901855","ames-ia",1996,0.03257392780207585
1,"Black or African American Alone",1,"Hispanic or Latino",2014,"2014",115,"Ames, IA","16000US1901855","ames-ia",109,0.001778836738690515
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2014,"2014",85,"Ames, IA","16000US1901855","ames-ia",123,0.002007311182192049
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2014,"2014",22,"Ames, IA","16000US1901855","ames-ia",0,0
3,"Asian Alone",0,"Not Hispanic or Latino",2014,"2014",367,"Ames, IA","16000US1901855","ames-ia",5436,0.08871336249102423
3,"Asian Alone",1,"Hispanic or Latino",2014,"2014",8,"Ames, IA","16000US1901855","ames-ia",5,0.00008159801553626216
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2014,"2014",30.000000000000004,"Ames, IA","16000US1901855","ames-ia",19,0.0003100724590377962
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2014,"2014",18,"Ames, IA","16000US1901855","ames-ia",11,0.00017951563417977675
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2014,"2014",18,"Ames, IA","16000US1901855","ames-ia",11,0.00017951563417977675
5,"Some Other Race Alone",1,"Hispanic or Latino",2014,"2014",112,"Ames, IA","16000US1901855","ames-ia",352,0.005744500293752856
6,"Two or More Races",0,"Not Hispanic or Latino",2014,"2014",325.8128297044179,"Ames, IA","16000US1901855","ames-ia",1457,0.023777661727266794
6,"Two or More Races",1,"Hispanic or Latino",2014,"2014",33.01514803843836,"Ames, IA","16000US1901855","ames-ia",35,0.0005711861087538352
0,"White Alone",0,"Not Hispanic or Latino",2013,"2013",404,"Ames, IA","16000US1901855","ames-ia",49640,0.8250232681824226
0,"White Alone",1,"Hispanic or Latino",2013,"2013",362,"Ames, IA","16000US1901855","ames-ia",1296,0.02153968887116075
1,"Black or African American Alone",0,"Not Hispanic or Latino",2013,"2013",210,"Ames, IA","16000US1901855","ames-ia",1970,0.032741656694588485
1,"Black or African American Alone",1,"Hispanic or Latino",2013,"2013",106,"Ames, IA","16000US1901855","ames-ia",101,0.0016786331604839782
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2013,"2013",51,"Ames, IA","16000US1901855","ames-ia",53,0.000880866905996543
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2013,"2013",23,"Ames, IA","16000US1901855","ames-ia",0,0
3,"Asian Alone",0,"Not Hispanic or Latino",2013,"2013",225.99999999999997,"Ames, IA","16000US1901855","ames-ia",5493,0.09129437574790586
3,"Asian Alone",1,"Hispanic or Latino",2013,"2013",23,"Ames, IA","16000US1901855","ames-ia",0,0
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2013,"2013",23,"Ames, IA","16000US1901855","ames-ia",0,0
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2013,"2013",16,"Ames, IA","16000US1901855","ames-ia",10,0.00016620130301821565
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2013,"2013",18,"Ames, IA","16000US1901855","ames-ia",11,0.00018282143332003722
5,"Some Other Race Alone",1,"Hispanic or Latino",2013,"2013",115.99999999999999,"Ames, IA","16000US1901855","ames-ia",404,0.006714532641935913
6,"Two or More Races",0,"Not Hispanic or Latino",2013,"2013",269.60155785900054,"Ames, IA","16000US1901855","ames-ia",1141,0.018963568674378407
6,"Two or More Races",1,"Hispanic or Latino",2013,"2013",48.46648326421054,"Ames, IA","16000US1901855","ames-ia",49,0.0008143863847892567
